H,Hydrogen,hcp,1.008,0.0899,5.35119E+22
He,Helium,fcc,4.002602,0.1785,2.67576E+22
Li,Lithium,bcc,6.94,0.535,4.62536E+22
Be,Beryllium,hcp,9.0121831,1.848,1.23033E+23
B,Boron,stg,10.81,2.46,1.3654E+23
C,Carbon,hcp,12.011,2.26,1.12897E+23
N,Nitrogen,hcp,14.007,1.251,5.35875E+22
O,Oxygen,bcm,15.999,1.429,5.35908E+22
F,Fluorine,bcm,18.99840316,1.696,5.35624E+22
Ne,Neon,fcc,20.1797,0.9,2.67596E+22
Na,Sodium,bcc,22.98976928,0.968,2.52634E+22
Mg,Magnesium,hcp,24.305,1.738,4.29048E+22
Al,Aluminum,fcc,26.9815385,2.7,6.00411E+22
Si,Silicon,dcc,28.085,2.33,4.97775E+22
P,Phosphorus,tpc,30.973762,1.823,3.53138E+22
S,Sulfur,fco,32.06,1.96,3.66812E+22
Cl,Chlorine,bo,35.45,3.214,5.43977E+22
Ar,Argon,fcc,39.948,1.784,2.67948E+22
K,Potassium,bcc,39.0983,0.856,1.31361E+22
Ca,Calcium,fcc,40.078,1.55,2.32048E+22
Sc,Scandium,hcp,44.955908,2.985,3.9839E+22
Ti,Titanium,hcp,47.867,4.507,5.6494E+22
V,Vanadium,bcc,50.9415,6.11,7.19649E+22
Cr,Chromium,bcc,51.9961,7.19,8.29678E+22
Mn,Manganese,bcc,54.938044,7.47,8.15828E+22
Fe,Iron,bcc,55.845,7.874,8.45984E+22
Co,Cobalt,hcp,58.933194,8.9,9.06111E+22
Ni,Nickel,fcc,58.6934,8.908,9.1063E+22
Cu,Copper,fcc,63.546,8.96,8.46001E+22
Zn,Zinc,hcp,65.38,7.14,6.55246E+22
Ga,Gallium,bo,69.723,5.904,5.08068E+22
Ge,Germanium,fcc,72.63,5.323,4.39736E+22
As,Arsenic,stg,74.921595,5.727,4.58639E+22
Se,Selenium,hcp,78.971,4.819,3.66134E+22
Br,Bromine,bo,79.904,3.12,2.34281E+22
Kr,Krypton,fcc,83.798,3.75,2.68503E+22
Rb,Rubidium,bcc,85.4678,1.532,1.07549E+22
Sr,Strontium,fcc,87.62,2.63,1.80096E+22
Y,Yttrium,hcp,88.90584,4.472,3.01802E+22
Zr,Zirconium,hcp,91.224,6.511,4.28243E+22
Nb,Niobium,bcc,92.90637,8.57,5.5346E+22
Mo,Molybdenum,bcc,95.95,10.28,6.42835E+22
Tc,Technetium,hcp,97,11.5,7.1134E+22
Ru,Ruthenium,hcp,101.07,12.37,7.34343E+22
Rh,Rhodium,fcc,102.9055,12.45,7.25909E+22
Pd,Palladium,fcc,106.42,12.023,6.77861E+22
Ag,Silver,fcc,107.8682,10.49,5.8349E+22
Cd,Cadmium,hcp,112.414,8.65,4.61686E+22
In,Indium,bct,114.818,7.31,3.81996E+22
Sn,Tin,bct,118.71,7.31,3.69472E+22
Sb,Antimony,stg,121.76,6.697,3.3001E+22
Te,Tellurium,stg,127.6,6.24,2.93417E+22
I,Iodine,bo,126.90447,4.94,2.33562E+22
Xe,Xenon,fcc,131.293,5.9,2.69626E+22
Cs,Cesium,bcc,132.905452,1.879,8.48272E+21
Ba,Barium,bcc,137.327,3.51,1.53357E+22
La,Lanthanum,hcp,138.90547,6.146,2.65476E+22
Ce,Cerium,hcp,140.116,6.689,2.86434E+22
Pr,Praseodymium,hcp,140.90766,6.64,2.82738E+22
Nd,Neodymium,hcp,144.242,7.01,2.91593E+22
Pm,Promethium,N/A,145,7.264,3.00579E+22
Sm,Samarium,stg,150.36,7.353,2.93416E+22
Eu,Europium,bcc,151.964,5.244,2.07049E+22
Gd,Gadolinium,hcp,157.25,7.901,3.01469E+22
Tb,Terbium,hcp,158.92535,8.219,3.10297E+22
Dy,Dysprosium,hcp,162.5,8.551,3.15729E+22
Ho,Holmium,hcp,164.93033,8.795,3.19953E+22
Er,Erbium,hcp,167.259,9.066,3.2522E+22
Tm,Thulium,hcp,168.93422,9.32,3.31016E+22
Yb,Ytterbium,fcc,173.045,6.57,2.27802E+22
Lu,Lutetium,hcp,174.9668,9.841,3.3747E+22
Hf,Hafnium,hcp,178.49,13.31,4.4742E+22
Ta,Tantalum,bcc,180.94788,16.65,5.52093E+22
W,Tungsten,bcc,183.84,19.25,6.28264E+22
Re,Rhenium,hcp,186.207,21.02,6.77311E+22
Os,Osmium,hcp,190.23,22.59,7.12506E+22
Ir,Iridium,fcc,192.217,22.56,7.04204E+22
Pt,Platinum,fcc,195.084,21.45,6.59716E+22
Au,Gold,fcc,196.966569,19.3,5.87917E+22
Hg,Mercury,stg,200.592,13.534,4.04822E+22
Tl,Thallium,hcp,204.38,11.85,3.47881E+22
Pb,Lead,fcc,207.2,11.34,3.28378E+22
Bi,Bismuth,bcm,208.9804,9.78,2.80792E+22
Po,Polonium,scc,209,9.196,2.64E+22
At,Astatine,N/A,210,0,0
Rn,Radon,N/A,222,9.73,2.62973E+22
Fr,Francium,N/A,223,0,0
Ra,Radium,bcc,226,5,1.32743E+22
Ac,Actinium,fcc,227,10.07,2.66167E+22
Th,Thorium,fcc,232.0377,11.724,3.03158E+22
Pa,Protactinium,bct,231.03588,15.37,3.99159E+22
U,Uranium,bo,238.02891,19.05,4.80194E+22
Np,Neptunium,so,237,20.45,5.17722E+22
Pu,Plutonium,sm,244,19.816,4.87279E+22
Am,Americium,hcp,243,13.67,3.37531E+22
Cm,Curium,hcp,247,13.51,3.28178E+22
Bk,Berkelium,hcp,247,14.78,3.59028E+22
Cf,Californium,hcp,251,15.1,3.60956E+22
Es,Einsteinium,N/A,252,0,0
Fm,Fermium,N/A,257,0,0
Md,Mendelevium,N/A,258,0,0
No,Nobelium,N/A,259,0,0
Lr,Lawrencium,N/A,262,0,0
Rf,Rutherfordium,N/A,267,0,0
Db,Dubnium,N/A,270,0,0
Sg,Seaborgium,N/A,269,0,0
Bh,Bohrium,N/A,270,0,0
Hs,Hassium,N/A,270,0,0
Mt,Meitnerium,N/A,278,0,0
Ds,Darmstadtium,N/A,281,0,0
Rg,Roentgenium,N/A,281,0,0
Cn,Copernicium,N/A,285,0,0
Nh,Nihonium,N/A,286,0,0
Fl,Flerovium,N/A,289,0,0
Mc,Moscovium,N/A,289,0,0
Lv,Livermorium,N/A,293,0,0
Ts,Tennessine,N/A,293,0,0
Og,Oganesson,N/A,294,0,0
